SNAP_DATE_DAY,contribution_CAT_PYRAMID_NAME_VIP,contribution_CAT_PYRAMID_NAME_Обычный,contribution_DESCRIPTION_Некачественный сервис,contribution_DESCRIPTION_Ошибка в счёте,contribution_DESCRIPTION_Проблема с сетью,contribution_FLAG_LOCAL_GENERAL_0.0,contribution_FLAG_LOCAL_GENERAL_1.0,contribution_FULL_NAME_Поломка оборудования,contribution_FULL_NAME_Технические работы,contribution_SUBCAT_PYRAMID_NAME_Низкий ARPU,contribution_SUBCAT_PYRAMID_NAME_Высокий ARPU
2023-01-01,0.09090909090909091,0.23863636363636362,0.13636363636363635,-0.23863636363636365,0.11363636363636365,0.20454545454545453,0.28409090909090906,0.40909090909090906,0.11363636363636363,0.23863636363636362,0.09090909090909091
2023-01-02,0.05921052631578947,0.4605263157894737,0.3157894736842105,-0.07894736842105263,0.23026315789473684,0.17763157894736842,0.3289473684210526,0.47368421052631576,0.09210526315789473,0.4605263157894737,0.05921052631578947
2023-01-03,0.20454545454545456,0.2840909090909091,0.17045454545454544,0.045454545454545456,0.13636363636363635,0.22727272727272727,0.23863636363636365,0.3977272727272727,0.13636363636363635,0.2727272727272727,0.22727272727272727
2023-01-04,0.4575163398692811,0.0915032679738562,0.0,0.3137254901960784,0.11764705882352941,0.32679738562091504,0.1830065359477124,0.1568627450980392,0.26143790849673204,0.0784313725490196,0.5032679738562091
2023-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06,-0.5192307692307692,0.46153846153846156,0.11538461538461539,0.19230769230769232,-0.0,0.15384615384615385,0.2884615384615385,0.23076923076923078,0.2692307692307692,0.38461538461538464,-0.17307692307692307
2023-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08,-0.9545454545454546,0.5454545454545454,-0.45454545454545453,-0.0,0.5454545454545454,-0.2727272727272727,0.6818181818181818,0.22727272727272727,0.45454545454545453,0.13636363636363635,0.36363636363636365
2023-01-09,0.5,-0.20833333333333334,0.16666666666666666,0.08333333333333333,-0.4166666666666667,0.20833333333333334,0.25,0.16666666666666666,0.16666666666666666,-0.4166666666666667,0.625
2023-01-10,0.7058823529411765,0.0,0.27450980392156865,0.0196078431372549,0.0915032679738562,0.1568627450980392,0.35294117647058826,0.20915032679738563,0.29411764705882354,0.1568627450980392,0.26143790849673204
2023-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-13,0.041666666666666664,0.5833333333333333,0.38888888888888884,-0.1111111111111111,0.041666666666666664,0.2777777777777778,0.20833333333333334,0.16666666666666666,0.3472222222222222,0.16666666666666666,0.25
2023-01-14,0.07777777777777778,0.4444444444444444,0.08888888888888888,0.058333333333333334,0.2,0.325,0.18333333333333332,0.16666666666666666,0.35,0.11111111111111112,0.4277777777777778
2023-01-15,-0.0625,0.5,0.1171875,-0.0,0.140625,0.328125,0.078125,0.1640625,0.3828125,0.1875,0.3125
2023-01-16,0.21818181818181817,0.2727272727272727,0.03636363636363636,-0.0,0.14545454545454545,-0.12727272727272726,0.43636363636363634,-0.0,0.21818181818181817,0.14545454545454545,0.38181818181818183
2023-01-17,0.6666666666666666,-0.06666666666666667,0.5833333333333334,-0.2,0.13333333333333333,0.13333333333333333,0.35,-0.1,0.75,0.35,0.13333333333333333
2023-01-18,1.0,-1.0,-0.5714285714285714,0.21428571428571427,-0.35714285714285715,0.5,-0.0,-0.5,1.0,-0.0,0.5
2023-01-19,-1.0,0.75,0.29166666666666663,-0.25,-1.0,0.5,-0.3333333333333333,-0.3333333333333333,0.5,0.25,0.4166666666666667
2023-01-20,0.325,0.21875,0.5625,0.025,-0.09375,0.6,0.0,0.125,0.28125,0.25,0.3125
2023-01-21,0.43137254901960786,0.11764705882352942,0.4705882352941177,-0.23529411764705885,-0.0,0.6862745098039217,-0.9411764705882354,0.4705882352941177,-0.43137254901960786,0.17647058823529413,0.3137254901960784
2023-01-22,0.2380952380952381,0.19047619047619047,-0.16666666666666666,0.11904761904761903,-0.0,-1.0,0.7619047619047619,0.19047619047619047,0.4285714285714286,0.4761904761904762,-0.0
2023-01-23,1.0,-0.38461538461538464,0.9230769230769231,-1.0,0.3076923076923077,1.0,-1.0,-1.0,1.0,-0.0,-0.0
2023-01-24,-0.5,1.0,0.0,-0.5333333333333333,1.0,0.2,0.3,-0.4666666666666667,0.7,1.0,-0.5
2023-01-25,1.0,-0.3888888888888889,0.8333333333333334,-0.05555555555555555,0.0,0.7407407407407408,-0.14814814814814814,0.5555555555555556,0.0,0.40740740740740744,0.25925925925925924
2023-01-26,0.38888888888888884,-0.1111111111111111,0.25,-0.05555555555555555,0.06944444444444445,0.34722222222222227,0.09722222222222222,0.34722222222222227,0.08333333333333333,0.3888888888888889,0.1388888888888889
2023-01-27,0.0,0.6923076923076923,0.0,-0.3076923076923077,1.0,1.0,-0.9230769230769231,1.0,0.0,0.0,0.0
2023-01-28,0.0,0.0,-0.14285714285714285,0.21428571428571427,-0.5,-1.0,1.0,0.5714285714285714,0.0,-0.7142857142857143,1.0
2023-01-29,0.6530612244897959,0.0,0.42857142857142855,0.12244897959183673,-0.06802721088435373,0.7619047619047619,-0.047619047619047616,0.4421768707482993,0.10884353741496598,0.04081632653061224,0.6122448979591837
2023-01-30,1.0,-1.0,1.0,-1.0,-0.0,1.0,-1.0,1.0,-0.45,-1.0,1.0
