SNAP_DATE_DAY,NPS,total_count,delta_NPS_all,ml_anomaly_FILIAL_ID_significant,z_anomaly_FILIAL_ID_significant,anomaly_FILIAL_ID_significant,ml_anomaly_NETWORK_4G_SHARE_significant,z_anomaly_NETWORK_4G_SHARE_significant,anomaly_NETWORK_4G_SHARE_significant,ml_anomaly_NETWORK_DURATION_2G_significant,z_anomaly_NETWORK_DURATION_2G_significant,anomaly_NETWORK_DURATION_2G_significant,ml_anomaly_NETWORK_DURATION_4G_significant,z_anomaly_NETWORK_DURATION_4G_significant,anomaly_NETWORK_DURATION_4G_significant,ml_anomaly_NETWORK_OVERLOAD_significant,z_anomaly_NETWORK_OVERLOAD_significant,anomaly_NETWORK_OVERLOAD_significant,ml_anomaly_NETWORK_PROSTOI_significant,z_anomaly_NETWORK_PROSTOI_significant,anomaly_NETWORK_PROSTOI_significant,ml_anomaly_NETWORK_SPD_LOWER_THAN_2000_significant,z_anomaly_NETWORK_SPD_LOWER_THAN_2000_significant,anomaly_NETWORK_SPD_LOWER_THAN_2000_significant,ml_anomaly_NETWORK_SPEED_LTE_significant,z_anomaly_NETWORK_SPEED_LTE_significant,anomaly_NETWORK_SPEED_LTE_significant,ml_anomaly_NETWORK_SQI_DATA_significant,z_anomaly_NETWORK_SQI_DATA_significant,anomaly_NETWORK_SQI_DATA_significant,ml_anomaly_NETWORK_SQI_VOICE_significant,z_anomaly_NETWORK_SQI_VOICE_significant,anomaly_NETWORK_SQI_VOICE_significant,ml_anomaly_NETWORK_VOLTE_significant,z_anomaly_NETWORK_VOLTE_significant,anomaly_NETWORK_VOLTE_significant,ml_anomaly_NETWORK_VOWIFI_significant,z_anomaly_NETWORK_VOWIFI_significant,anomaly_NETWORK_VOWIFI_significant,ml_anomaly_PRODUCT_EVA_TYPE_significant,z_anomaly_PRODUCT_EVA_TYPE_significant,anomaly_PRODUCT_EVA_TYPE_significant,ml_anomaly_PRODUCT_GROUP_TARIFF_significant,z_anomaly_PRODUCT_GROUP_TARIFF_significant,anomaly_PRODUCT_GROUP_TARIFF_significant,ml_anomaly_PRODUCT_NAME_LINE_TP_significant,z_anomaly_PRODUCT_NAME_LINE_TP_significant,anomaly_PRODUCT_NAME_LINE_TP_significant,ml_anomaly_PRODUCT_PEREPLATY_significant,z_anomaly_PRODUCT_PEREPLATY_significant,anomaly_PRODUCT_PEREPLATY_significant,ml_anomaly_PRODUCT_TARIFF_CHANGE_significant,z_anomaly_PRODUCT_TARIFF_CHANGE_significant,anomaly_PRODUCT_TARIFF_CHANGE_significant,ml_anomaly_PROFILE_DEVICE_OS_significant,z_anomaly_PROFILE_DEVICE_OS_significant,anomaly_PROFILE_DEVICE_OS_significant,ml_anomaly_PROFILE_DEVICE_PRICE_significant,z_anomaly_PROFILE_DEVICE_PRICE_significant,anomaly_PROFILE_DEVICE_PRICE_significant,ml_anomaly_PROFILE_DEVICE_TYPE_significant,z_anomaly_PROFILE_DEVICE_TYPE_significant,anomaly_PROFILE_DEVICE_TYPE_significant,ml_anomaly_PROFILE_KINOPOISK_significant,z_anomaly_PROFILE_KINOPOISK_significant,anomaly_PROFILE_KINOPOISK_significant,ml_anomaly_REGION_FILIAL_significant,z_anomaly_REGION_FILIAL_significant,anomaly_REGION_FILIAL_significant,ml_anomaly_SURVEY_AGE_GROUP_significant,z_anomaly_SURVEY_AGE_GROUP_significant,anomaly_SURVEY_AGE_GROUP_significant,ml_anomaly_SURVEY_ARPU_GROUP_significant,z_anomaly_SURVEY_ARPU_GROUP_significant,anomaly_SURVEY_ARPU_GROUP_significant,ml_anomaly_SURVEY_CITY_SIZE_significant,z_anomaly_SURVEY_CITY_SIZE_significant,anomaly_SURVEY_CITY_SIZE_significant,ml_anomaly_SURVEY_GENDER_significant,z_anomaly_SURVEY_GENDER_significant,anomaly_SURVEY_GENDER_significant,ml_anomaly_SURVEY_OPERATOR_AGE_GROUP_significant,z_anomaly_SURVEY_OPERATOR_AGE_GROUP_significant,anomaly_SURVEY_OPERATOR_AGE_GROUP_significant
2024-08-31,-0.06670364837409082,18,-0.002755288526234259,5.0,False,False,c. 80-90%,c. 80-90%,c. 80-90%,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Включайся!,False,False,Управляй!+ 2.0,Управляй!+ 2.0,Управляй!+ 2.0,False,False,False,False,False,False,False,False,False,False,Нет данных,False,PHONE,False,False,False,False,False,False,False,False,25-34,False,False,False,False,False,Малый,False,False,False,False,False,45-54,False,False
2024-09-01,-0.13595004186807086,20,-0.06924639349398004,9.0,False,False,c. 80-90%,False,False,False,False,False,False,Менее 80%,False,False,До 15 дней,False,Более 24 часов,Более 24 часов,Более 24 часов,False,False,False,False,False,False,False,False,False,False,False,False,До 80%,До 80%,До 80%,False,False,False,False,False,False,Прочие,False,False,Управляй!+ 2.0,Тарифные планы FMC - Непубличные Объединяй!,False,False,False,False,До 30 дней,False,False,False,False,False,False,False,False,DATA CARD,False,False,False,False,False,False,Сибирский филиал,False,55,False,False,False,False,False,False,False,False,False,False,False,55,False,False
2024-09-02,-0.23317696943817653,10,-0.09722692757010568,9.0,False,False,False,False,False,False,False,False,False,Менее 80%,False,False,False,False,False,False,False,False,False,False,>10 Mbps,False,False,False,False,False,Прочее,False,False,False,False,False,False,False,False,False,Ева МЛК,False,Внутрисетевые,False,False,Управляй!+ 2.0,False,False,False,False,False,31-90 дней,False,False,False,False,False,False,False,False,USB MODEM,DATA CARD,False,100MB - 1GB,False,False,Столичный филиал,False,False,45-54,False,False,False,False,False,False,False,False,False,False,False,18-24,55+,False
2024-09-03,0.2063506552433464,15,0.43952762468152295,9.0,False,False,a. <100 MB,b. <80%,False,Более 20%,Более 20%,Более 20%,Прочее,False,False,До 15 дней,Нет,False,Нет простоя,Риск простоя,False,False,False,False,>10 Mbps,False,False,>99.5%,<98%,False,Прочее,>99.5%,False,Не VoLTE,Не VoLTE,Не VoLTE,False,Есть,False,False,Ева+,False,СНГ,ПД,False,Управляй!+ 2.0,Управляй 2.0,False,До 40 руб,До 40 руб,До 40 руб,False,181-366 дней,False,False,False,False,False,False,False,UNDEFINED,False,False,100MB - 1GB,100MB - 1GB,100MB - 1GB,False,Уральский филиал,False,False,False,False,Средний,Средний,Средний,False,False,False,Жен,Жен,Жен,55,25-34,False
2024-09-04,-0.24854777770535508,12,-0.45489843294870147,9.0,4.0,False,False,False,False,Более 20%,False,False,Прочее,Прочее,Прочее,False,False,False,Более 24 часов,False,False,Менее 20%,False,False,>10 Mbps,>10 Mbps,>10 Mbps,False,False,False,False,False,False,Не VoLTE,False,False,False,False,False,Ева МЛК,False,False,Внутрисетевые,False,False,Управляй!+ 2.0,False,False,До 40 руб,False,False,181-366 дней,False,False,Android,False,False,Нет данных,False,False,SMARTPHONE,False,False,Более 1GB,False,False,Дальневосточный филиал,False,False,55,False,False,False,False,False,Малый,False,False,Муж,False,False,55,False,False
2024-09-05,-0.0812062626357853,17,0.1673415150695698,5.0,False,False,False,a. <100 MB,False,5...20%,5...20%,5...20%,False,False,False,False,False,False,False,False,False,20...80%,False,False,False,False,False,False,False,False,False,False,False,Не VoLTE,False,False,False,False,False,False,False,False,Прочие,Включайся!,False,Управляй!+ 2.0,Тарифные планы FMC - Объединяй 4.0,False,False,False,False,181-366 дней,False,False,False,Прочее,False,Нет данных,False,False,LAPTOP,False,False,Более 1GB,Более 1GB,Более 1GB,Сибирский филиал,False,False,55,False,False,False,False,False,False,False,False,False,False,False,55,False,False
2024-09-06,-0.05120210234819367,10,0.030004160287591633,9.0,False,False,b. <80%,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20...80%,20...80%,20...80%,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Внутрисетевые,False,False,Включайся! - Линейка 2 Огненный щит,False,False,False,False,False,91-180 дней,False,False,False,False,False,10-25 тыс. руб.,False,False,LAPTOP,False,False,False,False,False,Северо-Западный филиал,Поволжский филиал,False,55,False,False,False,False,False,False,False,False,False,False,False,55,False,False
2024-09-07,-0.031221999184056756,15,0.01998010316413691,12.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Более 24 часов,False,False,False,False,False,5...10 Mbps,False,False,False,False,False,False,False,False,False,False,False,Нет,False,False,False,False,False,Внутрисетевые,False,False,Управляй!+ 2.0,Твой интернет - линейка 2019,False,До 40 руб,False,False,False,False,False,False,False,False,False,False,False,TABLET,False,False,False,False,False,Северо-Западный филиал,False,False,55,False,False,False,Высокий,False,False,False,False,False,False,False,18-24,False,False
2024-09-08,-0.16225722617932758,17,-0.13103522699527081,14.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,20...80%,False,False,5...10 Mbps,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Сэмплинг,False,False,Включайся! - Линейка 2 Огненный щит,"Включайся! Конструктор 3.3 - допы (РН, ГБ, МИН)",False,False,False,False,False,False,False,False,False,False,False,False,False,NETWORK DEVICE,False,False,False,False,False,Поволжский филиал,Центральный филиал,False,45-54,45-54,45-54,False,False,False,False,False,False,Муж,False,False,55,False,False
2024-09-09,-0.17457918182678156,15,-0.012321955647453975,9.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,<98%,False,False,False,False,False,False,False,False,False,False,Сэмплинг,False,False,Управляй!+ 2.0,False,False,False,False,False,Прочее,False,False,False,False,False,10-25 тыс. руб.,False,False,NETWORK DEVICE,ROUTER,False,False,False,False,Поволжский филиал,Столичный филиал,False,55,False,False,False,False,False,False,Средний,False,False,False,False,18-24,False,False
